title,category,slug,code_rome,salaire_median_annuel,salaire_median_horaire,niveau_education,nombre_demandeurs,nombre_offres,tension_pct,tension_desc,description,url
Chef / Cheffe d'équipe de travaux forestiers,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,chef-cheffe-d-equipe-de-travaux-forestiers,A1212,25080,15.61,Bac+2 (BTS/DUT),30,240,5,Très favorable,"Le Chef d'équipe de travaux forestiers, un rôle clé pour la qualité de la gestion des travaux forestiers et la préservation des espaces forestiers.\nSupervise et coordonne les activités de l'équipe sur le terrain\nContrôle la qualité des travaux réalisés et veille au respect du cahier des charges des chantiers  et des normes de sécurité\nForme les membres de l'équipe aux techniques forestières et à l'utilisation du matériel\nGère et entretient les ressources matérielles nécessaires aux travaux forestiers\nPeut participer à des projets de reforestation et de conservation",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1212
Conducteur / Conductrice de travaux forestiers,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,conducteur-conductrice-de-travaux-forestiers,A1213,25080,15.61,Bac+5 (Master/Ingénieur),30,470,5,Très favorable,"Le conducteur de travaux forestiers orchestre la gestion des travaux forestiers, en alliant expertise technique et respect de l'environnement pour préserver et valoriser le patrimoine naturel.\nManage une équipe opérationnelle et met en œuvre des objectifs opérationnels\nOuvre, suit et réceptionne un chantier\nVeille au respect des normes environnementales et de sécurité lors des interventions forestières\nGère le budget et les ressources matérielles nécessaires aux projets (matériels, véhicules, locaux)\nPeut participer à des projets de recherche et de développement sur la gestion durable des forêts",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1213
Patrouilleur modeleur / Patrouilleuse modeleuse VTT,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,patrouilleur-modeleur-patrouilleuse-modeleuse-vtt,A1214,,,CAP/BEP,10,10,2,Défavorable,"Le Patrouilleur modeleur VTT, un acteur clé pour l'aménagement, la sécurité et l'entretien des pistes de VTT en montagne.\nParticipe à la conception et à la mise en place de nouveaux parcours ou améliorations de pistes existantes\nInspecte et entretient les pistes de VTT pour garantir la sécurité des utilisateurs\nModèle et adapte le terrain pour améliorer l'expérience de conduite sur les pistes\nCollabore avec les équipes de secours pour assurer une intervention rapide en cas d'accident\nInforme les utilisateurs sur les règles de sécurité et les nouvelles configurations de pistes, signale les obstacles et dangers potentiels",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1214
Technicien / Technicienne de culture maraîchère,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-de-culture-maraichere,A1301,35928,22.36,Bac+5 (Master/Ingénieur),520,3560,4,Favorable,"Conseille et assiste techniquement les professionnels de l'agriculture, de l'aquaculture, de la sylviculture ou de l'élevage selon les orientations institutionnelles (préservation du patrimoine naturel, ...), les projets d'aménagement du territoire (dispositif de gestion de l'eau,...) ou d'implantation d'exploitation agricole et d'élevage, et la réglementation environnementale.\nPeut former et sensibiliser différents publics. Peut réaliser des prélèvements d'échantillons.\nPeut coordonner une équipe.",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1301
Technicien / Technicienne agricole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-agricole,A1302,35928,22.36,Bac+2 (BTS/DUT),940,6920,4,Favorable,"Réalise les opérations de contrôle ou de diagnostic (surveillance, prélèvements, relevés de mesures) sur les lieux de production (élevages, abattoirs, ...) et de stockage (chambre froide, silo, ...) selon les règles d'hygiène, de sécurité et la réglementation sanitaire et environnementale.\nPeut procéder à des contrôles de conformité et verbaliser les contrevenants à la réglementation. \nPeut coordonner une équipe.",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1302
Ingénieur / Ingénieure d'études et de recherche agricoles,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,ingenieur-ingenieure-d-etudes-et-de-recherche-agricoles,A1303,47016,29.26,Bac,3380,4970,3,Neutre,L'Ingénieur d'études et de recherche agricoles façonne l'avenir de l'agriculture par des innovations et des recherches avancées.\nConçoit et développe des projets de recherche pour améliorer les pratiques agricoles\nAnalyse les données environnementales pour optimiser les rendements et la durabilité des exploitations\nCollabore avec des équipes multidisciplinaires pour intégrer les avancées technologiques dans l'agriculture\nParticipe à la rédaction de publications scientifiques et à la communication des résultats de recherche\nGuide les agriculteurs et les entreprises agricoles dans l'adoption de nouvelles technologies et pratiques\nÉvalue l'impact environnemental des pratiques agricoles et propose des solutions durables,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1303
Conseiller / Conseillère technique agricole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,conseiller-conseillere-technique-agricole,A1304,41472,25.81,Bac+3 (Licence),940,4640,4,Favorable,"Le Conseiller technique agricole accompagne les agriculteurs dans la gestion de leur activité et l'optimisation de leur production. \nAnalyse l'activité et les résultats des agriculteurs accompagnés\nPropose des solutions techniques, économiques ou organisationnelles\nConseille des produits, des outils ou des services adaptés",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1304
Technicien / Technicienne des services vétérinaires,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-des-services-veterinaires,A1305,,,Bac,10,320,4,Favorable,"Le technicien des services vétérinaires, spécialisé dans le contrôle sanitaire et la protection des animaux, contribue à garantir la santé publique tout au long de la chaîne alimentaire.\nEffectue des missions d'inspection pour contrôler les conditions de vie et de bien-être des animaux dans les élevages, refuges, abattoirs, ...\nVérifie le respect des normes d'hygiène et de sécurité des produits d'origine animale destinés à la consommation dans les abattoirs et les industries agroalimentaires\nS'assure du respect des normes et de la règlementation\nPrélève des échantillons pour analyses\nRédige des rapports d'inspection \nPeut ouvrir une enquête sanitaire en cas de risques sanitaires ou de maladies contagieuses",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1305
Chargé / Chargée de mission biodiversité,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,charge-chargee-de-mission-biodiversite,A1306,,,Bac+5 (Master/Ingénieur),1220,310,3,Neutre,"Le chargé de mission biodiversité étudie et protège les écosystèmes afin de préserver et valoriser la biodiversité.\nÉvalue et surveille l'état des habitats naturels de la faune et la flore associée\nPropose et met en œuvre des plans de gestion pour la conservation des espaces naturels\nRéalise des études d'impact environnemental pour des projets de développement\nCollabore avec des partenaires ou organismes locaux, régionaux et nationaux pour promouvoir les initiatives de biodiversité\nParticipe à la rédaction de rapports scientifiques et techniques sur la biodiversité\nOrganise et anime des actions de sensibilisation et d'éducation à l'environnement",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1306
Ingénieur forestier / Ingénieure forestière,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,ingenieur-forestier-ingenieure-forestiere,A1307,,,Bac+5 (Master/Ingénieur),120,440,3,Neutre,"L'Ingénieur forestier gère les projets d'aménagement et d'exploitation durables de la forêt.\nÉlabore et met en œuvre des plans de coupe et de reboisement\nSupervise les opérations de reforestation, d'aménagement et d'entretien des espaces\nRéalise des études d'impact environnemental pour protéger les écosystèmes\nConseille sur les meilleures pratiques de gestion forestière et de conservation de la biodiversité\nCollabore avec des organismes gouvernementaux et non gouvernementaux pour la mise en place de politiques environnementales\nDirige les équipes sur le terrain lors des travaux d'entretien des zones forestières",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1307
Technicien / Technicienne de l'insémination animale,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-de-l-insemination-animale,A1308,,,Bac,50,220,4,Favorable,Le Technicien de l'insémination animale réalise l'insémination artificielle sur différents animaux pour améliorer les performances génétiques des élevages.\nConseille les éleveurs sur les meilleures pratiques de reproduction et les stratégies d'amélioration et la conduite génétique des élevages\nSuit les protocoles de sécurité et d'hygiène lors des inséminations pour garantir la santé animale et la qualité des interventions\nGère la traçabilité des interventions et des données génétiques pour assurer la conformité réglementaire\nConseille les éleveurs sur les meilleures pratiques de reproduction et les génotypages\nParticipe à la gestion des stocks de semences et à la planification des sessions d'insémination\nPeut être impliqué dans la recherche et le développement de nouvelles techniques d'insémination,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1308
Technicien / Technicienne d'élevage équin,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-d-elevage-equin,A1309,,,Bac,20,40,4,Favorable,"Le Technicien d'élevage équin, professionnel passionné par le monde équestre, supervise et coordonne toutes les activités d'un élevage de chevaux.\nAssure le suivi sanitaire et alimentaire des équidés\nGère la reproduction et le bien-être des chevaux\nOrganise et participe aux entraînements des chevaux\nContribue à la préparation des chevaux pour les compétitions ou la vente\nPeut participer à la gestion administrative et financière de l'élevage",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1309
Technicien / Technicienne de production animale,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-de-production-animale,A1310,,,Bac,190,2150,4,Favorable,"Le Technicien de production animale assiste les éleveurs et maintient et améliore la qualité de la production animale.\nSupervise et optimise les processus de production animale pour garantir la qualité et la quantité des produits\nContrôle la santé et le bien-être des animaux, en veillant à leur alimentation et à leur environnement\nGère la reproduction des animaux et suit le développement des jeunes\nMaintient à jour les registres de production et de santé animale conformément aux réglementations\nCollabore avec des vétérinaires pour prévenir et traiter les maladies animales\nParticipe à la recherche et à l'implémentation de nouvelles techniques pour améliorer l'efficacité de l'élevage",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1310
Technicien forestier / Technicienne forestière,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-forestier-technicienne-forestiere,A1311,,,Bac,420,860,4,Favorable,"Le technicien forestier, spécialisé dans la gestion, l'entretien et la conservation des forêts, met en œuvre des programmes de gestion forestière durable.\nGère et surveille la forêt en lien avec les autres professionnels forestiers\nPlanifie et supervise les opérations de reboisement et de coupe\nRenseigne et sensibilise le public à la biodiversité\nConseille les propriétaires ou les élus sur les meilleures pratiques de gestion durable des forêts\nParticipe à la prévention et à la gestion des risques naturels (incendies, maladies)\nCollabore avec des organismes publics et privés pour la mise en œuvre de projets forestiers",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1311
Directeur / Directrice environnement,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,directeur-directrice-environnement,A1312,,,Bac,210,950,3,Neutre,"Le Directeur environnement élabore la stratégie environnementale en conformité avec la règlementation et les objectifs de production et de rentabilité de la structure.\nRéalise des études d'impact et des audits environnementaux (pollution, traitement des déchets, consommation d'énergie, …)\nDétermine avec la direction les solutions à mettre en place pour réduire les impacts environnementaux des activités\nCollabore avec des équipes pluridisciplinaires pour intégrer les critères environnementaux dans les projets de développement\nSensibilise et forme les parties prenantes aux enjeux environnementaux et aux pratiques durables\nParticipe à la mise en place de systèmes de management environnemental au sein des organisations",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1312
Chargé / Chargée de mission environnement,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,charge-chargee-de-mission-environnement,A1313,,,Bac,2040,3790,4,Favorable,"Le chargé de mission environnement met en œuvre des politiques et des programmes de protection de l'environnement au sein des structures afin d'atténuer les impacts environnementaux des activités.\nÉvalue et analyse l'impact environnemental des activités (pollution, déchets, consommation d'énergie, …)\nElabore des préconisations et propose des solutions durables adaptées aux objectifs de production ou de rentabilité de la structure\nConduit et coordonne les projets \nSurveille l'avancement des projets et assure le reporting pour mesurer les impacts et les résultats obtenus\nCollabore avec diverses parties prenantes pour promouvoir les meilleures pratiques environnementales\nOrganise des campagnes de sensibilisation et des formations sur les enjeux environnementaux et écologiques",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1313
Cueilleur / Cueilleuse de fruits,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,cueilleur-cueilleuse-de-fruits,A1401,23196,14.43,CAP/BEP,4950,32410,2,Défavorable,"Le Cueilleur de fruits exerce un métier au cœur de la nature, il est un acteur essentiel des exploitations fruitières.\nRécolte différents types de fruits selon la saison \nAssure la sélection des fruits selon leur maturité pour garantir la qualité \nTransporte les fruits récoltés vers les zones de stockage\nPeut participer à l'entretien des arbres fruitiers et des plantations\nPeut effectuer le tri et le conditionnement des fruits",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1401
Aide agricole en production végétale,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,aide-agricole-en-production-vegetale,A1402,22620,14.08,CAP/BEP,9430,4680,2,Défavorable,"L'Aide agricole en production végétale apporte une aide aux cultivateurs dans la gestion de l'exploitation.\nParticipe à la préparation des sols et à la plantation de diverses cultures\nAssure l'entretien courant des cultures en contrôlant la croissance et en appliquant les traitements nécessaires\nEffectue la récolte manuelle de céréales, légumes et plantes\nParticipe aux opérations de tri et de conditionnement des produits récoltés\nEffectue l'entretien des outils, équipements et installations",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1402
Aide d'élevage agricole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,aide-d-elevage-agricole,A1403,23940,14.90,CAP/BEP,2230,6020,2,Défavorable,"Apporte une aide à l'éleveur dans les activités quotidiennes auprès des animaux (distribution de nourriture, aide à la traite, ramassage des œufs, …)\nParticipe aux soins et veille au bien-être des animaux.\nPeut conduire un troupeau.\nPeut réaliser des opérations de tri et de conditionnement de produits issus de l'élevage.",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1403
Aquaculteur / Aquacultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,aquaculteur-aquacultrice,A1404,27384,17.04,Bac+3 (Licence),480,980,4,Favorable,"L'Aquaculteur / Aquacultrice, est un spécialiste de la production animale en milieu aquatique.\nÉlève et soigne des poissons, crustacés et coquillages selon les normes environnementales et sanitaires\nSurveille l'environnement et la qualité de l'eau pour garantir la santé des espèces et en assurer une gestion durable\nRécolte les produits aquatiques prêts à la consommation ou pour transformation et les commercialise \nPeut encadrer des équipes et gérer une entreprise",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1404
Arboriculteur / Arboricultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,arboriculteur-arboricultrice,A1405,23196,14.43,Bac,350,210,2,Défavorable,"L'Arboriculteur cultive divers types d'arbres fruitiers et ornementaux selon les saisons et les conditions climatiques.\nEffectue la taille, l'élagage et le traitement des arbres pour garantir leur santé et leur productivité\nSurveille et contrôle les attaques de nuisibles et les maladies des plantes\nRécolte les fruits en respectant les périodes optimales \nCommercialise les produits de l'arboriculture sur les marchés locaux, auprès de distributeurs ou d'industriels\nPeut gérer une équipe et coordonner les opérations de culture et de récolte ou de cueillette",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1405
Capitaine de pêche,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,capitaine-de-peche,A1406,59640,37.11,,110,70,4,Favorable,"Le Capitaine de pêche dirige et contrôle la navigation en mer et les opérations de pêche selon les objectifs d'exploitation, les règles de sécurité et la règlementation maritime sur l'environnement et la gestion des captures.\nContrôle la manipulation, le traitement et la conservation des produits de la pêche jusqu'à leur commercialisation\nPeut diriger un armement et assurer la gestion d'un équipage.",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1406
Eleveur / Eleveuse de bovins,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,eleveur-eleveuse-de-bovins,A1407,23940,14.90,Bac,450,560,3,Neutre,"L'éleveur ou éleveuse de bovins, assure les soins nécessaires à la conduite de l'élevage en fonction des objectifs de production et dans le respect du bien-être animal.\nGère et surveille la santé et le développement des bovins au quotidien\nAssure l'alimentation et l'hydratation des animaux selon leurs besoins spécifiques\nRéalise les opérations de reproduction et suit le développement des veaux\nMaintient les installations et les équipements d'élevage en bon état\nCommercialise les produits issus de l'élevage, tels que la viande et le lait\nPeut cultiver les plantes destinées à l'alimentation des animaux (fourrages, céréales, ...)\nPeut encadrer une équipe et gérer une activité",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1407
Eleveur / Eleveuse d'animaux sauvages,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,eleveur-eleveuse-d-animaux-sauvages,A1408,23940,14.90,Bac,230,460,2,Défavorable,"L'Éleveur d'animaux sauvages élève et soigne des animaux dans un environnement contrôlé ou semi-naturel en fonction des objectifs de production et dans le respect du bien-être animal.\nSurveille la croissance et le développement des animaux\nAssure l'entretien des lieux d'élevage, des installations et des équipements \nSurveille la santé des animaux at collabore avec des vétérinaires pour administrer des traitements préventifs et curatifs\nCommercialise les produits issus de l'élevage en valorisant leur origine et leurs spécificités\nPeut sensibiliser le public et les visiteurs sur les comportements et besoins spécifiques des animaux sauvages",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1408
Aviculteur / Avicultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,aviculteur-avicultrice,A1409,23940,14.90,Bac,540,3470,3,Neutre,"L'Aviculteur / Avicultrice produit des volailles pour la consommation de viande, la production d'œufs ou d'autres produits dérivés.\nÉlève et soigne les volailles dans le respect du bien-être et de la santé des animaux\nGère l'alimentation et l'hygiène quotidienne des volailles\nSurveille la santé des animaux et administre les traitements nécessaires\nAssure le suivi des naissances et la croissance des volailles\nMaintient et nettoie les installations d'élevage\nCommercialise les produits de l'élevage, tels que les œufs ou la viande",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1409
Eleveur / Eleveuse d'ovins,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,eleveur-eleveuse-d-ovins,A1410,23940,14.90,Bac+2 (BTS/DUT),1990,1220,2,Défavorable,"L'Éleveur / Éleveuse d'ovins, veille au bien-être, à la santé et à la reproduction de son troupeau.\nÉlève et soigne les ovins pour la production de laine, de viande et de lait\nGère les pâturages pour assurer une alimentation adéquate et un environnement sain pour les animaux\nSurveille la santé des animaux et administre les traitements nécessaires\nParticipe à la reproduction des troupeaux pour garantir la pérennité de l'élevage\nCommercialise les produits de l'élevage \nMaintient et améliore les installations d'élevage pour optimiser les conditions de vie des ovins",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1410
